,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,id,region,total_servings,prop_wine,prop_beer,prop_spirits,rank_wine,rank_beer,rank_spirit,relative_rank_wine,relative_rank_beer,relative_rank_spirit
20,Bolivia,167,41,8,3.8,68,Americas,216,0.037037037037037035,0.7731481481481481,0.18981481481481483,122.0,29.0,118.0,19.0,1.0,33.0
21,Bosnia-Herzegovina,76,173,8,4.6,70,Europe,257,0.0311284046692607,0.29571984435797666,0.6731517509727627,127.0,144.0,23.0,40.0,35.0,1.0
22,Botswana,173,35,35,5.4,72,Africa,243,0.1440329218106996,0.7119341563786008,0.1440329218106996,70.0,39.0,136.0,18.0,22.0,24.0
23,Brazil,245,145,16,7.2,76,Americas,406,0.03940886699507389,0.603448275862069,0.35714285714285715,121.0,60.0,72.0,18.0,8.0,21.0
24,Brunei,31,2,1,0.6,96,Asia,34,0.029411764705882353,0.9117647058823529,0.058823529411764705,128.0,10.0,159.0,22.0,4.0,36.0
25,Bulgaria,231,252,94,10.3,100,Europe,577,0.16291161178509533,0.4003466204506066,0.43674176776429807,66.0,116.0,60.0,31.0,23.0,8.0
26,Burkina Faso,25,7,7,4.3,854,Africa,39,0.1794871794871795,0.6410256410256411,0.1794871794871795,61.0,55.5,120.0,15.0,33.5,20.0
27,Burundi,88,0,0,6.3,108,Africa,88,0.0,1.0,0.0,171.5,2.5,175.5,47.0,1.5,47.5
28,Cote d'Ivoire,37,1,7,4.0,384,Africa,45,0.15555555555555556,0.8222222222222222,0.022222222222222223,68.0,26.0,165.0,17.0,17.0,40.0
29,Cabo Verde,144,56,16,4.0,132,Africa,216,0.07407407407407407,0.6666666666666666,0.25925925925925924,95.0,53.0,96.0,27.0,31.0,13.0
30,Cambodia,57,65,1,2.2,116,Asia,123,0.008130081300813009,0.4634146341463415,0.5284552845528455,155.0,95.0,45.0,27.0,13.0,22.0
31,Cameroon,147,1,4,5.8,120,Africa,152,0.02631578947368421,0.9671052631578947,0.006578947368421052,132.0,7.0,170.0,38.0,4.0,44.0
32,Canada,240,122,100,8.2,124,Americas,462,0.21645021645021645,0.5194805194805194,0.26406926406926406,50.0,80.0,94.0,4.0,13.0,29.0
33,Central African Republic,17,2,1,1.8,140,Africa,20,0.05,0.85,0.1,111.5,18.0,150.5,32.5,13.0,30.5
34,Chad,15,1,1,0.4,148,Africa,17,0.058823529411764705,0.8823529411764706,0.058823529411764705,105.0,14.0,159.0,31.0,10.0,35.5
35,Chile,130,124,172,7.6,152,Americas,426,0.40375586854460094,0.3051643192488263,0.29107981220657275,21.0,142.0,87.0,3.0,31.0,27.0
36,China,79,192,8,5.0,156,Asia,279,0.02867383512544803,0.2831541218637993,0.6881720430107527,130.0,147.0,21.0,24.0,21.0,14.0
37,Colombia,159,76,3,4.2,170,Americas,238,0.012605042016806723,0.6680672268907563,0.31932773109243695,148.0,51.0,83.0,29.0,7.0,24.0
38,Comoros,1,3,1,0.1,174,Africa,5,0.2,0.2,0.6,55.0,160.0,33.0,13.0,49.0,4.0
39,Congo,76,1,9,1.7,178,Africa,86,0.10465116279069768,0.8837209302325582,0.011627906976744186,84.0,13.0,168.0,24.0,9.0,42.0
40,Cook Islands,0,254,74,5.9,184,Oceania,328,0.22560975609756098,0.0,0.774390243902439,47.0,179.5,11.0,3.0,15.0,1.0
41,Costa Rica,149,87,11,4.4,188,Americas,247,0.044534412955465584,0.6032388663967612,0.3522267206477733,117.0,61.0,73.0,15.0,9.0,22.0
42,Croatia,230,87,254,10.2,191,Europe,571,0.4448336252189142,0.4028021015761821,0.15236427320490367,18.0,115.0,133.0,11.0,22.0,32.0
43,Cuba,93,137,5,4.2,192,Americas,235,0.02127659574468085,0.39574468085106385,0.5829787234042553,138.5,119.0,35.0,23.0,25.0,7.0
44,Cyprus,192,154,113,8.2,196,Asia,459,0.24618736383442266,0.41830065359477125,0.3355119825708061,44.0,109.0,78.0,7.0,16.0,26.0
45,Czech Republic,361,170,134,11.8,203,Europe,665,0.20150375939849624,0.5428571428571428,0.2556390977443609,54.0,71.0,98.0,27.0,3.0,18.0
46,North Korea,0,0,0,0.0,408,Asia,0,,,,,,,,,
47,DR Congo,32,3,1,2.3,180,Africa,36,0.027777777777777776,0.8888888888888888,0.08333333333333333,131.0,11.5,155.0,37.0,7.5,32.0
48,Denmark,224,81,278,10.4,208,Europe,583,0.47684391080617494,0.38421955403087477,0.13893653516295026,12.0,120.0,140.0,5.0,24.0,35.0
49,Djibouti,15,44,3,1.1,262,Africa,62,0.04838709677419355,0.24193548387096775,0.7096774193548387,113.0,154.0,19.0,34.0,47.0,2.0
50,Dominica,52,286,26,6.6,212,Americas,364,0.07142857142857142,0.14285714285714285,0.7857142857142857,97.5,167.0,10.0,12.0,34.0,2.0
51,Dominican Republic,193,147,9,6.2,214,Americas,349,0.025787965616045846,0.5530085959885387,0.42120343839541546,133.0,68.0,62.0,21.0,10.0,20.0
52,Ecuador,162,74,3,4.2,218,Americas,239,0.012552301255230125,0.6778242677824268,0.30962343096234307,149.0,48.0,85.0,30.0,6.0,25.0
53,Egypt,6,4,1,0.2,818,Africa,11,0.09090909090909091,0.5454545454545454,0.36363636363636365,88.0,70.0,70.0,25.0,39.0,7.0
54,El Salvador,52,69,2,2.2,222,Americas,123,0.016260162601626018,0.42276422764227645,0.5609756097560976,144.0,106.0,41.0,26.0,20.0,11.0
55,Equatorial Guinea,92,0,233,5.8,226,Africa,325,0.7169230769230769,0.28307692307692306,0.0,1.0,148.0,175.5,1.0,46.0,47.5
56,Eritrea,18,0,0,0.5,232,Africa,18,0.0,1.0,0.0,171.5,2.5,175.5,47.0,1.5,47.5
57,Estonia,224,194,59,9.5,233,Europe,477,0.12368972746331237,0.469601677148847,0.40670859538784065,78.0,94.0,65.0,32.0,16.0,10.0
58,Ethiopia,20,3,0,0.7,231,Africa,23,0.0,0.8695652173913043,0.13043478260869565,171.5,15.0,143.0,47.0,11.0,27.0
59,Fiji,77,35,1,2.0,242,Oceania,113,0.008849557522123894,0.6814159292035398,0.30973451327433627,153.0,46.0,84.0,15.0,5.0,9.0
60,Finland,263,133,97,10.0,246,Europe,493,0.19675456389452334,0.5334685598377282,0.2697768762677485,56.0,73.0,92.0,28.0,5.0,17.0
61,France,127,151,370,11.8,250,Europe,648,0.5709876543209876,0.19598765432098766,0.2330246913580247,7.0,161.0,105.0,2.0,39.0,22.0
62,Gabon,347,98,59,8.9,266,Africa,504,0.11706349206349206,0.6884920634920635,0.19444444444444445,80.0,44.0,116.0,22.0,26.0,19.0
63,Gambia,8,0,1,2.4,270,Africa,9,0.1111111111111111,0.8888888888888888,0.0,82.0,11.5,175.5,23.0,7.5,47.5
64,Georgia,52,100,149,5.4,268,Asia,301,0.4950166112956811,0.17275747508305647,0.33222591362126247,11.0,164.0,81.0,3.0,30.0,27.0
65,Germany,346,117,175,11.3,276,Europe,638,0.274294670846395,0.542319749216301,0.1833855799373041,39.0,72.0,119.0,23.0,4.0,28.0
66,Ghana,31,3,10,1.8,288,Africa,44,0.22727272727272727,0.7045454545454546,0.06818181818181818,46.0,41.0,157.0,10.0,24.0,34.0
67,Greece,133,112,218,8.3,300,Europe,463,0.4708423326133909,0.28725701943844495,0.24190064794816415,13.0,146.0,102.0,6.0,36.0,20.0
68,Grenada,199,438,28,11.9,308,Americas,665,0.042105263157894736,0.2992481203007519,0.6586466165413534,119.0,143.0,25.0,17.0,32.0,4.0
69,Guatemala,53,69,2,2.2,320,Americas,124,0.016129032258064516,0.4274193548387097,0.5564516129032258,145.0,105.0,42.0,27.0,19.0,12.0
70,Guinea,9,0,2,0.2,324,Africa,11,0.18181818181818182,0.8181818181818182,0.0,60.0,27.0,175.5,14.0,18.0,47.5
71,Guinea-Bissau,28,31,21,2.5,624,Africa,80,0.2625,0.35,0.3875,41.0,130.0,66.0,8.0,45.0,6.0
72,Guyana,93,302,1,7.1,328,Americas,396,0.0025252525252525255,0.23484848484848486,0.7626262626262627,162.0,156.0,12.0,35.0,33.0,3.0
73,Haiti,1,326,1,5.9,332,Americas,328,0.003048780487804878,0.003048780487804878,0.9939024390243902,159.0,178.0,2.0,34.0,35.0,1.0
74,Honduras,69,98,2,3.0,340,Americas,169,0.011834319526627219,0.40828402366863903,0.5798816568047337,151.0,111.0,37.0,31.0,22.0,8.0
75,Hungary,234,215,185,11.3,348,Europe,634,0.2917981072555205,0.36908517350157727,0.3391167192429022,35.0,127.0,76.0,20.0,27.0,14.0
76,Iceland,233,61,78,6.6,352,Europe,372,0.20967741935483872,0.6263440860215054,0.1639784946236559,52.0,59.0,129.0,25.0,1.0,31.0
77,India,9,114,0,2.2,356,Asia,123,0.0,0.07317073170731707,0.926829268292683,171.5,176.0,3.0,35.0,38.0,2.0
78,Indonesia,5,1,0,0.1,360,Asia,6,0.0,0.8333333333333334,0.16666666666666666,171.5,22.5,125.5,35.0,6.5,32.0
79,Iran,0,0,0,0.0,364,Asia,0,,,,,,,,,
80,Iraq,9,3,0,0.2,368,Asia,12,0.0,0.75,0.25,171.5,33.0,100.0,35.0,9.0,29.0
81,Ireland,313,118,165,11.4,372,Europe,596,0.27684563758389263,0.5251677852348994,0.19798657718120805,38.0,77.0,115.0,22.0,7.0,26.0
82,Israel,63,69,9,2.5,376,Asia,141,0.06382978723404255,0.44680851063829785,0.48936170212765956,101.0,100.0,52.0,12.0,15.0,24.0
83,Italy,85,42,237,6.5,380,Europe,364,0.6510989010989011,0.23351648351648352,0.11538461538461539,4.0,157.0,146.0,1.0,38.0,38.0
84,Jamaica,82,97,9,3.4,388,Americas,188,0.047872340425531915,0.43617021276595747,0.5159574468085106,114.0,103.0,47.0,14.0,18.0,13.0
85,Japan,77,202,16,7.0,392,Asia,295,0.05423728813559322,0.26101694915254237,0.6847457627118644,108.0,152.0,22.0,16.0,25.0,15.0
86,Jordan,6,21,1,0.5,400,Asia,28,0.03571428571428571,0.21428571428571427,0.75,123.0,159.0,14.0,19.0,27.0,9.0
87,Kazakhstan,124,246,12,6.8,398,Asia,382,0.031413612565445025,0.32460732984293195,0.643979057591623,125.0,135.0,26.0,21.0,19.0,16.0
88,Kenya,58,22,2,1.8,404,Africa,82,0.024390243902439025,0.7073170731707317,0.2682926829268293,135.0,40.0,93.0,39.0,23.0,11.0
89,Kiribati,21,34,1,1.0,296,Oceania,56,0.017857142857142856,0.375,0.6071428571428571,142.0,124.5,32.0,11.0,13.0,3.0
90,Kuwait,0,0,0,0.0,414,Asia,0,,,,,,,,,
91,Kyrgyzstan,31,97,6,2.4,417,Asia,134,0.04477611940298507,0.23134328358208955,0.7238805970149254,116.0,158.0,16.0,18.0,26.0,10.0
92,Laos,62,0,123,6.2,418,Asia,185,0.6648648648648648,0.33513513513513515,0.0,3.0,133.0,175.5,2.0,18.0,39.0
93,Latvia,281,216,62,10.5,428,Europe,559,0.11091234347048301,0.5026833631484794,0.38640429338103754,83.0,85.0,67.0,34.0,12.0,11.0
94,Lebanon,20,55,31,1.9,422,Asia,106,0.29245283018867924,0.18867924528301888,0.5188679245283019,34.0,162.0,46.0,4.0,28.0,23.0
95,Lesotho,82,29,0,2.8,426,Africa,111,0.0,0.7387387387387387,0.26126126126126126,171.5,35.0,95.0,47.0,20.0,12.0
96,Liberia,19,152,2,3.1,430,Africa,173,0.011560693641618497,0.10982658959537572,0.8786127167630058,152.0,171.0,5.0,42.0,50.0,1.0
97,Libya,0,0,0,0.0,434,Africa,0,,,,,,,,,
98,Lithuania,343,244,56,12.9,440,Europe,643,0.08709175738724728,0.5334370139968896,0.37947122861586313,91.0,74.0,69.0,37.0,6.0,12.0
99,Luxembourg,236,133,271,11.4,442,Europe,640,0.4234375,0.36875,0.2078125,19.0,128.0,112.0,12.0,28.0,24.0
100,Madagascar,26,15,4,0.8,450,Africa,45,0.08888888888888889,0.5777777777777777,0.3333333333333333,89.0,65.0,79.5,26.0,38.0,9.5
101,Malawi,8,11,1,1.5,454,Africa,20,0.05,0.4,0.55,111.5,117.0,43.0,32.5,43.0,5.0
102,Malaysia,13,4,0,0.3,458,Asia,17,0.0,0.7647058823529411,0.23529411764705882,171.5,31.0,103.0,35.0,8.0,30.0
103,Maldives,0,0,0,0.0,462,Asia,0,,,,,,,,,
104,Mali,5,1,1,0.6,466,Africa,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,71.0,37.5,137.0,19.0,21.0,25.0
105,Malta,149,100,120,6.6,470,Europe,369,0.3252032520325203,0.4037940379403794,0.27100271002710025,33.0,114.0,91.0,19.0,21.0,16.0
106,Marshall Islands,0,0,0,0.0,584,Oceania,0,,,,,,,,,
107,Mauritania,0,0,0,0.0,478,Africa,0,,,,,,,,,
108,Mauritius,98,31,18,2.6,480,Africa,147,0.12244897959183673,0.6666666666666666,0.2108843537414966,79.0,53.0,109.0,21.0,31.0,16.0
109,Mexico,238,68,5,5.5,484,Americas,311,0.01607717041800643,0.7652733118971061,0.21864951768488747,146.0,30.0,107.0,28.0,2.0,32.0
110,Micronesia,62,50,18,2.3,583,Oceania,130,0.13846153846153847,0.47692307692307695,0.38461538461538464,75.0,90.0,68.0,8.0,9.0,6.0
111,Monaco,0,0,0,0.0,492,Europe,0,,,,,,,,,
112,Mongolia,77,189,8,4.9,496,Asia,274,0.029197080291970802,0.28102189781021897,0.6897810218978102,129.0,149.0,20.0,23.0,22.0,13.0
113,Montenegro,31,114,128,4.9,499,Europe,273,0.46886446886446886,0.11355311355311355,0.4175824175824176,14.0,170.0,63.0,7.0,40.0,9.0
114,Morocco,12,6,10,0.5,504,Africa,28,0.35714285714285715,0.42857142857142855,0.21428571428571427,29.0,104.0,108.0,5.0,42.0,15.0
115,Mozambique,47,18,5,1.3,508,Africa,70,0.07142857142857142,0.6714285714285714,0.2571428571428571,97.5,50.0,97.0,29.0,29.0,14.0
116,Myanmar,5,1,0,0.1,104,Asia,6,0.0,0.8333333333333334,0.16666666666666666,171.5,22.5,125.5,35.0,6.5,32.0
117,Namibia,376,3,1,6.8,516,Africa,380,0.002631578947368421,0.9894736842105263,0.007894736842105263,161.0,5.0,169.0,43.0,3.0,43.0
118,Nauru,49,0,8,1.0,520,Oceania,57,0.14035087719298245,0.8596491228070176,0.0,73.0,16.0,175.5,7.0,1.0,15.0
119,Nepal,5,6,0,0.2,524,Asia,11,0.0,0.45454545454545453,0.5454545454545454,171.5,97.0,44.0,35.0,14.0,21.0
120,Netherlands,251,88,190,9.4,528,Europe,529,0.3591682419659735,0.47448015122873344,0.166351606805293,26.0,92.0,128.0,15.0,15.0,30.0
121,New Zealand,203,79,175,9.3,554,Oceania,457,0.38293216630196936,0.4442013129102845,0.17286652078774617,24.0,101.0,123.0,2.0,11.0,10.0
122,Nicaragua,78,118,1,3.5,558,Americas,197,0.005076142131979695,0.39593908629441626,0.5989847715736041,157.0,118.0,34.0,33.0,24.0,6.0
123,Niger,3,2,1,0.1,562,Africa,6,0.16666666666666666,0.5,0.3333333333333333,63.0,86.0,79.5,16.0,41.0,9.5
124,Nigeria,42,5,2,9.1,566,Africa,49,0.04081632653061224,0.8571428571428571,0.10204081632653061,120.0,17.0,149.0,36.0,12.0,29.0
125,Niue,188,200,7,7.0,570,Oceania,395,0.017721518987341773,0.4759493670886076,0.5063291139240507,143.0,91.0,48.0,12.0,10.0,4.0
126,Norway,169,71,129,6.7,578,Europe,369,0.34959349593495936,0.45799457994579945,0.19241192411924118,31.0,96.0,117.0,18.0,17.0,27.0
127,Oman,22,16,1,0.7,512,Asia,39,0.02564102564102564,0.5641025641025641,0.41025641025641024,134.0,66.0,64.0,25.0,12.0,25.0
128,Pakistan,0,0,0,0.0,586,Asia,0,,,,,,,,,
129,Palau,306,63,23,6.9,585,Oceania,392,0.058673469387755105,0.7806122448979592,0.16071428571428573,106.0,28.0,132.0,10.0,3.0,12.0
130,Panama,285,104,18,7.2,591,Americas,407,0.044226044226044224,0.7002457002457002,0.25552825552825553,118.0,42.0,99.0,16.0,4.0,30.0
131,Papua New Guinea,44,39,1,1.5,598,Oceania,84,0.011904761904761904,0.5238095238095238,0.4642857142857143,150.0,78.0,59.0,14.0,7.0,5.0
132,Paraguay,213,117,74,7.3,600,Americas,404,0.18316831683168316,0.5272277227722773,0.2896039603960396,59.0,76.0,88.0,5.0,12.0,28.0
133,Peru,163,160,21,6.1,604,Americas,344,0.061046511627906974,0.4738372093023256,0.46511627906976744,103.0,93.0,58.0,13.0,15.0,18.0
134,Philippines,71,186,1,4.6,608,Asia,258,0.003875968992248062,0.2751937984496124,0.7209302325581395,158.0,151.0,17.0,28.0,24.0,11.0
135,Poland,343,215,56,10.9,616,Europe,614,0.09120521172638436,0.5586319218241043,0.3501628664495114,87.0,67.0,74.0,36.0,2.0,13.0
136,Portugal,194,67,339,11.0,620,Europe,600,0.565,0.3233333333333333,0.11166666666666666,8.0,138.0,147.0,3.0,33.0,39.0
137,Qatar,1,42,7,0.9,634,Asia,50,0.14,0.02,0.84,74.0,177.0,9.0,8.0,39.0,7.0
138,South Korea,140,16,9,9.8,410,Asia,165,0.05454545454545454,0.8484848484848485,0.09696969696969697,107.0,19.0,152.0,15.0,5.0,35.0
139,Moldova,109,226,18,6.3,498,Europe,353,0.05099150141643059,0.3087818696883853,0.6402266288951841,110.0,140.0,27.0,39.0,34.0,3.0
140,Romania,297,122,167,10.4,642,Europe,586,0.28498293515358364,0.5068259385665529,0.20819112627986347,37.0,84.0,111.0,21.0,11.0,23.0
141,Russian Federation,247,326,73,11.5,643,Europe,646,0.1130030959752322,0.38235294117647056,0.5046439628482973,81.0,121.0,49.0,33.0,25.0,4.0
142,Rwanda,43,2,0,6.8,646,Africa,45,0.0,0.9555555555555556,0.044444444444444446,171.5,9.0,162.0,47.0,6.0,37.0
143,St. Kitts & Nevis,194,205,32,7.7,659,Americas,431,0.07424593967517401,0.45011600928074247,0.4756380510440835,94.0,99.0,56.0,11.0,16.0,16.0
144,St. Lucia,171,315,71,10.1,662,Americas,557,0.12746858168761221,0.30700179533213645,0.5655296229802513,77.0,141.0,39.0,9.0,30.0,10.0
145,St. Vincent & the Grenadines,120,221,11,6.3,670,Americas,352,0.03125,0.3409090909090909,0.6278409090909091,126.0,132.0,29.0,20.0,28.0,5.0
146,Samoa,105,18,24,2.6,882,Oceania,147,0.16326530612244897,0.7142857142857143,0.12244897959183673,65.0,37.5,145.0,5.0,4.0,14.0
147,San Marino,0,0,0,0.0,674,Europe,0,,,,,,,,,
148,Sao Tome & Principe,56,38,140,4.2,678,Africa,234,0.5982905982905983,0.23931623931623933,0.1623931623931624,5.0,155.0,130.0,2.0,48.0,23.0
149,Saudi Arabia,0,5,0,0.1,682,Asia,5,0.0,0.0,1.0,171.5,179.5,1.0,35.0,40.0,1.0
150,Senegal,9,1,7,0.3,686,Africa,17,0.4117647058823529,0.5294117647058824,0.058823529411764705,20.0,75.0,159.0,3.0,40.0,35.5
151,Serbia,283,131,127,9.6,688,Europe,541,0.23475046210720887,0.5231053604436229,0.24214417744916822,45.0,79.0,101.0,24.0,8.0,19.0
152,Seychelles,157,25,51,4.1,690,Africa,233,0.21888412017167383,0.6738197424892703,0.1072961373390558,49.0,49.0,148.0,11.0,28.0,28.0
153,Sierra Leone,25,3,2,6.7,694,Africa,30,0.06666666666666667,0.8333333333333334,0.1,100.0,22.5,150.5,30.0,15.5,30.5
154,Singapore,60,12,11,1.5,702,Asia,83,0.13253012048192772,0.7228915662650602,0.14457831325301204,76.0,36.0,135.0,9.0,10.0,34.0
155,Slovakia,196,293,116,11.4,703,Europe,605,0.19173553719008266,0.3239669421487603,0.484297520661157,58.0,136.0,54.0,30.0,31.0,6.0
156,Slovenia,270,51,276,10.6,705,Europe,597,0.4623115577889447,0.45226130653266333,0.08542713567839195,16.0,98.0,154.0,9.0,18.0,40.0
157,Solomon Islands,56,11,1,1.2,90,Oceania,68,0.014705882352941176,0.8235294117647058,0.16176470588235295,147.0,25.0,131.0,13.0,2.0,11.0
158,Somalia,0,0,0,0.0,706,Africa,0,,,,,,,,,
159,South Africa,225,76,81,8.2,710,Africa,382,0.21204188481675393,0.5890052356020943,0.19895287958115182,51.0,62.0,113.0,12.0,36.0,18.0
160,Spain,284,157,112,10.0,724,Europe,553,0.20253164556962025,0.5135623869801085,0.28390596745027125,53.0,81.0,89.0,26.0,9.0,15.0
161,Sri Lanka,16,104,0,2.2,144,Asia,120,0.0,0.13333333333333333,0.8666666666666667,171.5,168.0,6.0,35.0,33.0,4.0
162,Sudan,8,13,0,1.7,729,Africa,21,0.0,0.38095238095238093,0.6190476190476191,171.5,123.0,31.0,47.0,44.0,3.0
163,Suriname,128,178,7,5.6,740,Americas,313,0.022364217252396165,0.40894568690095845,0.5686900958466453,137.0,110.0,38.0,22.0,21.0,9.0
164,Swaziland,90,2,2,4.7,748,Africa,94,0.02127659574468085,0.9574468085106383,0.02127659574468085,138.5,8.0,166.0,41.0,5.0,41.0
165,Sweden,152,60,186,7.2,752,Europe,398,0.46733668341708545,0.38190954773869346,0.1507537688442211,15.0,122.0,134.0,8.0,26.0,33.0
166,Switzerland,185,100,280,10.2,756,Europe,565,0.49557522123893805,0.3274336283185841,0.17699115044247787,10.0,134.0,122.0,4.0,30.0,29.0
167,Syria,5,35,16,1.0,760,Asia,56,0.2857142857142857,0.08928571428571429,0.625,36.0,175.0,30.0,5.0,37.0,18.0
168,Tajikistan,2,15,0,0.3,762,Asia,17,0.0,0.11764705882352941,0.8823529411764706,171.5,169.0,4.0,35.0,34.0,3.0
169,Thailand,99,258,1,6.4,764,Asia,358,0.002793296089385475,0.276536312849162,0.7206703910614525,160.0,150.0,18.0,29.0,23.0,12.0
170,Macedonia,106,27,86,3.9,807,Europe,219,0.3926940639269406,0.4840182648401826,0.1232876712328767,22.0,88.0,144.0,13.0,14.0,37.0
171,Timor-Leste,1,1,4,0.1,626,Asia,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.0,165.0,125.5,1.0,31.0,32.0
172,Togo,36,2,19,1.3,768,Africa,57,0.3333333333333333,0.631578947368421,0.03508771929824561,32.0,58.0,164.0,6.0,35.0,39.0
173,Tonga,36,21,5,1.1,776,Oceania,62,0.08064516129032258,0.5806451612903226,0.3387096774193548,92.0,64.0,77.0,9.0,6.0,8.0
174,Trinidad & Tobago,197,156,7,6.4,780,Americas,360,0.019444444444444445,0.5472222222222223,0.43333333333333335,141.0,69.0,61.0,25.0,11.0,19.0
175,Tunisia,51,3,20,1.3,788,Africa,74,0.2702702702702703,0.6891891891891891,0.04054054054054054,40.0,43.0,163.0,7.0,25.0,38.0
176,Turkey,51,22,7,1.4,792,Asia,80,0.0875,0.6375,0.275,90.0,57.0,90.0,10.0,11.0,28.0
177,Turkmenistan,19,71,32,2.2,795,Asia,122,0.26229508196721313,0.1557377049180328,0.5819672131147541,42.0,166.0,36.0,6.0,32.0,19.0
178,Tuvalu,6,41,9,1.0,798,Oceania,56,0.16071428571428573,0.10714285714285714,0.7321428571428571,67.0,172.0,15.0,6.0,14.0,2.0
179,Uganda,45,9,0,8.3,800,Africa,54,0.0,0.8333333333333334,0.16666666666666666,171.5,22.5,125.5,47.0,15.5,22.0
180,Ukraine,206,237,45,8.9,804,Europe,488,0.09221311475409837,0.42213114754098363,0.48565573770491804,86.0,107.0,53.0,35.0,19.0,5.0
181,United Arab Emirates,16,135,5,2.8,784,Asia,156,0.03205128205128205,0.10256410256410256,0.8653846153846154,124.0,173.0,7.0,20.0,35.0,5.0
182,United Kingdom,219,126,195,10.4,826,Europe,540,0.3611111111111111,0.40555555555555556,0.23333333333333334,25.0,113.0,104.0,14.0,20.0,21.0
183,Tanzania,36,6,1,5.7,834,Africa,43,0.023255813953488372,0.8372093023255814,0.13953488372093023,136.0,20.0,139.0,40.0,14.0,26.0
184,USA,249,158,84,8.7,840,Americas,491,0.1710794297352342,0.5071283095723014,0.32179226069246436,62.0,83.0,82.0,6.0,14.0,23.0
185,Uruguay,115,35,220,6.6,858,Americas,370,0.5945945945945946,0.3108108108108108,0.0945945945945946,6.0,139.0,153.0,1.0,29.0,34.0
186,Uzbekistan,25,101,8,2.4,860,Asia,134,0.05970149253731343,0.1865671641791045,0.753731343283582,104.0,163.0,13.0,14.0,29.0,8.0
187,Vanuatu,21,18,11,0.9,548,Oceania,50,0.22,0.42,0.36,48.0,108.0,71.0,4.0,12.0,7.0
188,Venezuela,333,100,3,7.7,862,Americas,436,0.006880733944954129,0.7637614678899083,0.22935779816513763,156.0,32.0,106.0,32.0,3.0,31.0
189,Vietnam,111,2,1,2.0,704,Asia,114,0.008771929824561403,0.9736842105263158,0.017543859649122806,154.0,6.0,167.0,26.0,3.0,37.0
190,Yemen,6,0,0,0.1,887,Asia,6,0.0,1.0,0.0,171.5,2.5,175.5,35.0,1.5,39.0
